#,Country,GDP per capita,GNI per capita,Gini Coefficient,Poverty Rate
1,Burundi,$237,$240,38.6,64.9%
2,Somalia,$446,$450,36.8,
3,Mozambique,$500,$480,54,46.1%
4,Central African Republic,$511,$530,56.2,62%
5,Madagascar,$515,$500,42.6,70.7%
6,Sierra Leone,$516,$510,35.7,56.8%
7,Democratic Republic of the Congo,$584,$580,42.1,63.9%
8,Niger,$595,$590,37.3,40.8%
9,Malawi,$643,$630,38.5,51.5%
10,Liberia,$673,$620,35.3,50.9%
11,Yemen,$691,,36.7,48.6%
12,Chad,$696,$650,37.5,42.3%
13,Sudan,$764,$670,34.2,46.5%
14,Guinea-Bissau,$813,$780,34.8,69.3%
15,Rwanda,$834,$850,43.7,38.2%
16,The Gambia,$836,$800,,
17,Uganda,$858,$840,42.7,21.4%
18,Tajikistan,$897,"$1,150",34,26.3%
19,Burkina Faso,$918,$860,47.3,41.4%
20,Mali,$918,$870,36.1,42.1%
21,Ethiopia,$944,$960,35,23.5%
22,Togo,$992,$980,42.4,55.1%
23,Zambia,"$1,121","$1,040",57.1,54.4%
24,Tanzania,"$1,136","$1,140",40.5,26.4%
25,Lesotho,"$1,166","$1,270",44.9,49.7%
26,Guinea,"$1,174","$1,010",29.6,43.7%
27,Myanmar,"$1,187","$1,140",30.7,24.8%
28,Nepal,"$1,223","$1,230",32.8,25.2%
29,Kyrgyzstan,"$1,276","$1,180",29,20.1%
30,Benin,"$1,428","$1,370",37.8,38.5%
31,East Timor,"$1,458","$1,940",28.7,
32,Comoros,"$1,495","$1,460",45.3,42.4%
33,Pakistan,"$1,538","$1,500",29.6,24.3%
34,Cambodia,"$1,591","$1,550",37.9,17.7%
35,Senegal,"$1,606","$1,540",38.1,46.7%
36,Cameroon,"$1,662","$1,590",46.6,37.5%
37,Mauritania,"$1,723","$1,730",32.6,31%
38,Zimbabwe,"$1,737","$1,400",50.3,38.3%
39,Haiti,"$1,815","$1,420",41.1,58.5%
40,Uzbekistan,"$1,983","$1,960",35.3,14.1%
41,Kenya,"$2,007","$2,010",40.8,36.1%
42,Nigeria,"$2,085","$2,100",35.1,40.1%
43,Nicaragua,"$2,091","$2,010",46.2,24.9%
44,Angola,"$2,138","$1,770",51.3,32.3%
45,Republic of the Congo,"$2,214","$1,630",48.9,40.9%
46,India,"$2,277","$2,170",35.7,21.9%
47,Solomon Islands,"$2,337","$2,300",,12.7%
48,Ghana,"$2,445","$2,360",43.5,23.4%
49,São Tomé and Príncipe,"$2,449","$2,280",40.7,
50,Bangladesh,"$2,503","$2,620",32.4,24.3%
51,Laos,"$2,551","$2,520",38.8,18.3%
52,Ivory Coast,"$2,579","$2,450",37.2,39.5%
53,Lebanon,"$2,670","$3,450",31.8,27.4%
54,Honduras,"$2,831","$2,540",48.2,48.3%
55,Papua New Guinea,"$2,916","$2,790",41.9,39.9%
56,Vanuatu,"$3,127","$3,140",,12.7%
57,Djibouti,"$3,364","$3,300",41.6,21.1%
58,Bolivia,"$3,415","$3,360",43.6,37.2%
59,Federated States of Micronesia,"$3,477","$3,880",,
60,Morocco,"$3,497","$3,350",39.5,4.8%
61,Philippines,"$3,549","$3,640",42.3,16.7%
62,Palestine,"$3,664","$4,220",,29.2%
63,Vietnam,"$3,694","$3,560",35.7,6.7%
64,Algeria,"$3,765","$3,660",27.6,5.5%
65,Sri Lanka,"$3,815","$3,820",39.3,4.1%
66,Egypt,"$3,876","$3,510",31.5,32.5%
67,Tunisia,"$3,924","$3,630",32.8,15.2%
68,Marshall Islands,"$4,171","$5,050",,
69,Eswatini,"$4,215","$3,680",54.6,58.9%
70,Indonesia,"$4,292","$4,140",37.9,9.4%
71,Jordan,"$4,406","$4,480",33.7,15.7%
72,El Salvador,"$4,409","$4,140",38.8,22.8%
73,Belize,"$4,420","$4,290",49.8,
74,Mongolia,"$4,535","$3,760",32.7,28.4%
75,Jamaica,"$4,587","$4,800",35,19.9%
76,Armenia,"$4,670","$4,560",25.2,26.4%
77,Namibia,"$4,729","$4,550",59.1,17.4%
78,Suriname,"$4,836","$4,440",57.9,
79,Ukraine,"$4,836","$4,120",25.6,1.1%
80,Guatemala,"$5,026","$4,940",48.3,59.3%
81,Georgia,"$5,042","$4,740",34.5,19.5%
82,Iraq,"$5,048","$5,040",29.5,18.9%
83,Fiji,"$5,086","$4,860",30.7,29.9%
84,Moldova,"$5,315","$5,460",26,7.3%
85,Azerbaijan,"$5,384","$4,880",33.7,6%
86,Paraguay,"$5,400","$5,340",43.5,23.5%
87,Ecuador,"$5,935","$5,930",47.3,25%
88,Libya,"$6,018","$8,430",,
89,Colombia,"$6,131","$6,160",54.2,35.7%
90,Albania,"$6,494","$6,110",30.8,14.3%
91,Peru,"$6,692","$6,520",43.8,20.2%
92,Republic of Macedonia,"$6,721","$6,130",,
93,Bosnia and Herzegovina,"$6,916","$6,770",33,16.9%
94,South Africa,"$6,994","$6,440",63,55.5%
95,Thailand,"$7,233","$7,260",35,9.9%
96,Belarus,"$7,304","$6,950",24.4,5%
97,Botswana,"$7,348","$6,940",53.3,19.3%
98,Brazil,"$7,519","$7,720",48.9,26.5%
99,Dominica,"$7,560","$7,760",,
100,Saint Vincent and the Grenadines,"$7,997","$8,100",,
101,Gabon,"$8,017","$7,100",38,33.4%
102,Equatorial Guinea,"$8,462","$5,810",,76.8%
103,Dominican Republic,"$8,604","$8,220",39.6,21%
104,Mauritius,"$8,812","$10,860",36.8,10.3%
105,Maldives,"$8,995","$8,400",29.3,8.2%
106,Serbia,"$9,215","$8,440",34.5,23.2%
107,Montenegro,"$9,367","$9,300",36.8,24.5%
108,Guyana,"$9,375","$9,380",44.6,
109,Saint Lucia,"$9,571","$9,680",51.2,25%
110,Turkey,"$9,587","$9,830",41.9,14.4%
111,Mexico,"$9,926","$9,380",45.4,41.9%
112,Grenada,"$9,929","$9,630",,
113,Kazakhstan,"$10,041","$8,720",27.8,4.3%
114,Argentina,"$10,729","$10,050",42.3,35.5%
115,Malaysia,"$11,371","$10,930",41.1,5.6%
116,Bulgaria,"$11,635","$10,720",40.3,23.8%
117,Russia,"$12,173","$11,600",36,12.6%
118,Nauru,"$12,252","$19,470",,
119,Costa Rica,"$12,509","$12,310",49.3,21%
120,People's Republic of China,"$12,556","$11,890",38.2,13%
121,Seychelles,"$13,307","$13,260",32.1,25.3%
122,Panama,"$14,516","$14,010",49.8,22.1%
123,Romania,"$14,862","$14,170",34.8,23.8%
124,Antigua and Barbuda,"$14,901","$14,900",,
125,Trinidad and Tobago,"$15,243","$15,070",40.3,
126,Oman,"$16,439",,,
127,Chile,"$16,503","$15,000",44.9,8.6%
128,Uruguay,"$17,021","$15,800",40.2,8.8%
129,Barbados,"$17,034","$16,720",,
130,Croatia,"$17,399","$17,150",28.9,18.3%
131,Poland,"$17,841","$16,670",30.2,15.4%
132,Saint Kitts and Nevis,"$18,230","$18,560",,
133,Hungary,"$18,773","$17,740",30,12.3%
134,Greece,"$20,277","$20,140",33.1,17.9%
135,Latvia,"$20,642","$19,370",34.5,22.9%
136,Slovakia,"$21,088","$20,250",23.2,
137,Bahrain,"$22,232",,,
138,Lithuania,"$23,433","$21,610",35.3,20.6%
139,Saudi Arabia,"$23,586",,45.9,
140,Turks and Caicos Islands,"$24,047","$23,600",,
141,Portugal,"$24,262","$23,730",32.8,17.2%
142,Czech Republic,"$26,378","$24,070",25.3,10.1%
143,Estonia,"$27,281","$25,970",30.8,21.7%
144,The Bahamas,"$28,239","$27,220",,
145,Slovenia,"$29,201","$28,240",24.4,12%
146,Spain,"$30,116","$29,740",34.3,20.7%
147,Cyprus,"$30,798","$28,130",31.2,14.7%
148,Brunei,"$31,723",,,
149,Malta,"$33,257","$30,560",31,17.1%
150,South Korea,"$34,758","$34,980",31.4,
151,Italy,"$35,551","$35,710",35.2,20.1%
152,Japan,"$39,285","$42,620",32.9,15.7%
153,Andorra,"$43,048",,,
154,France,"$43,519","$43,880",32.4,13.6%
155,Macau,"$45,422",,35,
156,United Kingdom,"$47,334","$45,380",35.1,18.6%
157,New Zealand,"$48,802","$45,340",36.2,
158,Hong Kong,"$49,661","$54,450",53.9,
159,Germany,"$50,802","$51,040",31.7,14.8%
160,Israel,"$51,430","$49,560",38.6,16.9%
161,Belgium,"$51,768","$50,510",27.2,14.8%
162,Canada,"$52,051","$48,310",33.3,11.6%
163,Austria,"$53,268","$52,210",30.2,13.3%
164,Finland,"$53,983","$53,660",27.7,12.2%
165,Netherlands,"$58,061","$56,370",29.2,13.6%
166,Australia,"$59,934","$56,760",34.3,12.4%
167,Sweden,"$60,239","$58,890",29.3,17.1%
168,Qatar,"$61,276","$57,120",41.1,
169,Denmark,"$67,803","$68,110",27.7,12.5%
170,Iceland,"$68,384","$64,410",26.1,8.8%
171,United States of America,"$69,288","$70,430",41.5,17.8%
172,Singapore,"$72,794","$64,010",45.9,
173,Norway,"$89,203","$84,090",27.7,12.7%
174,Switzerland,"$93,457","$90,360",33.1,16%
175,Ireland,"$99,152","$74,520",30.6,13.1%
176,Bermuda,"$110,869","$116,540",,
177,Luxembourg,"$135,683",,34.2,17.5%
